id,patient_text,relative_text,severity
566,I feel motivated and energetic,Behavior appears normal,3
567,I feel worried about everything,Behavior appears normal,8
568,I feel fine and stable,Appears emotionally distant,8
569,I feel disconnected from people,Actively interacts with family,9
570,I feel motivated and energetic,He avoids family and sleeps a lot,3
571,I feel emotionally numb,Seems happy and social,5
572,I feel fine and stable,He avoids family and sleeps a lot,7
573,I feel calm and normal,He avoids family and sleeps a lot,5
574,I feel sad without any clear reason,Appears emotionally distant,9
575,I feel emotionally numb,Often prefers to stay alone,2
576,I feel anxious most of the day,Actively interacts with family,5
577,I feel motivated and energetic,Actively interacts with family,7
578,I feel fine and stable,He avoids family and sleeps a lot,10
579,I feel tired and hopeless,Often prefers to stay alone,1
580,I feel emotionally numb,Shows signs of irritability,5
581,I feel emotionally numb,She seems withdrawn and quiet,3
582,I feel calm and normal,Mood fluctuates frequently,3
583,I feel tired and hopeless,Actively interacts with family,6
584,I feel sad without any clear reason,Mood fluctuates frequently,8
585,I feel fine and stable,Seems happy and social,10
586,I feel stressed and overwhelmed,Behavior appears normal,6
587,I feel worried about everything,Often prefers to stay alone,2
588,I feel tired and hopeless,Often prefers to stay alone,4
589,I feel calm and normal,Behavior appears normal,10
590,I feel worried about everything,Often prefers to stay alone,9
591,I feel emotionally numb,Appears emotionally distant,8
592,I feel motivated and energetic,Behavior appears normal,10
593,I feel anxious most of the day,Often prefers to stay alone,3
594,I feel calm and normal,Appears emotionally distant,5
595,I feel motivated and energetic,He avoids family and sleeps a lot,10
596,I feel motivated and energetic,Seems happy and social,4
597,I feel tired and hopeless,No major change noticed,10
598,I feel disconnected from people,Behavior appears normal,6
599,I feel emotionally numb,Appears emotionally distant,4
600,I feel fine and stable,Shows signs of irritability,6
601,I feel worried about everything,Behavior appears normal,4
602,I feel sad without any clear reason,Seems happy and social,8
603,I feel disconnected from people,Shows signs of irritability,3
604,I feel sad without any clear reason,Mood fluctuates frequently,2
605,I feel stressed and overwhelmed,No major change noticed,10
606,I feel sad without any clear reason,Seems happy and social,2
607,I feel disconnected from people,Actively interacts with family,4
608,I feel motivated and energetic,Behavior appears normal,2
609,I feel tired and hopeless,Actively interacts with family,6
610,I feel stressed and overwhelmed,Appears emotionally distant,8
611,I feel worried about everything,Mood fluctuates frequently,7
612,I feel calm and normal,She seems withdrawn and quiet,6
613,I feel disconnected from people,Seems happy and social,3
614,I feel emotionally numb,Seems happy and social,6
615,I feel emotionally numb,Often prefers to stay alone,4
616,I feel fine and stable,Often prefers to stay alone,10
617,I feel disconnected from people,Appears emotionally distant,10
618,I feel worried about everything,Often prefers to stay alone,1
619,I feel stressed and overwhelmed,No major change noticed,8
620,I feel anxious most of the day,Mood fluctuates frequently,1
621,I feel disconnected from people,Shows signs of irritability,1
622,I feel emotionally numb,Shows signs of irritability,1
623,I feel worried about everything,No major change noticed,8
624,I feel stressed and overwhelmed,Mood fluctuates frequently,5
625,I feel disconnected from people,Mood fluctuates frequently,3
626,I feel disconnected from people,She seems withdrawn and quiet,4
627,I feel motivated and energetic,She seems withdrawn and quiet,10
628,I feel disconnected from people,She seems withdrawn and quiet,7
629,I feel worried about everything,Mood fluctuates frequently,1
630,I feel emotionally numb,Mood fluctuates frequently,7
631,I feel disconnected from people,No major change noticed,4
632,I feel emotionally numb,Behavior appears normal,3
633,I feel stressed and overwhelmed,Mood fluctuates frequently,1
634,I feel motivated and energetic,Actively interacts with family,8
635,I feel calm and normal,Seems happy and social,6
636,I feel emotionally numb,Appears emotionally distant,4
637,I feel worried about everything,Behavior appears normal,1
638,I feel stressed and overwhelmed,Actively interacts with family,6
639,I feel sad without any clear reason,Appears emotionally distant,10
640,I feel worried about everything,Often prefers to stay alone,10
641,I feel emotionally numb,She seems withdrawn and quiet,10
642,I feel sad without any clear reason,Shows signs of irritability,2
643,I feel tired and hopeless,Shows signs of irritability,4
644,I feel tired and hopeless,Often prefers to stay alone,7
645,I feel emotionally numb,Seems happy and social,7
646,I feel emotionally numb,She seems withdrawn and quiet,5
647,I feel emotionally numb,He avoids family and sleeps a lot,8
648,I feel calm and normal,Behavior appears normal,7
649,I feel stressed and overwhelmed,Actively interacts with family,6
650,I feel calm and normal,Shows signs of irritability,4
651,I feel worried about everything,Appears emotionally distant,3
652,I feel fine and stable,Often prefers to stay alone,4
653,I feel calm and normal,He avoids family and sleeps a lot,6
654,I feel calm and normal,Actively interacts with family,1
655,I feel fine and stable,Seems happy and social,8
656,I feel motivated and energetic,Mood fluctuates frequently,10
657,I feel motivated and energetic,Mood fluctuates frequently,4
658,I feel tired and hopeless,Appears emotionally distant,7
659,I feel tired and hopeless,She seems withdrawn and quiet,9
660,I feel tired and hopeless,Mood fluctuates frequently,1
661,I feel sad without any clear reason,Seems happy and social,5
662,I feel tired and hopeless,Shows signs of irritability,2
663,I feel calm and normal,Behavior appears normal,9
664,I feel stressed and overwhelmed,Actively interacts with family,9
665,I feel stressed and overwhelmed,Often prefers to stay alone,10
666,I feel tired and hopeless,Shows signs of irritability,8
667,I feel stressed and overwhelmed,She seems withdrawn and quiet,3
668,I feel tired and hopeless,Actively interacts with family,8
669,I feel anxious most of the day,Shows signs of irritability,5
670,I feel sad without any clear reason,No major change noticed,5
671,I feel emotionally numb,Mood fluctuates frequently,5
672,I feel sad without any clear reason,She seems withdrawn and quiet,6
673,I feel disconnected from people,She seems withdrawn and quiet,5
674,I feel motivated and energetic,She seems withdrawn and quiet,1
675,I feel fine and stable,Actively interacts with family,3
676,I feel anxious most of the day,Appears emotionally distant,3
677,I feel calm and normal,Often prefers to stay alone,1
678,I feel stressed and overwhelmed,Appears emotionally distant,8
679,I feel fine and stable,Often prefers to stay alone,2
680,I feel disconnected from people,Appears emotionally distant,5
681,I feel fine and stable,Seems happy and social,2
682,I feel anxious most of the day,Shows signs of irritability,6
683,I feel sad without any clear reason,Appears emotionally distant,2
684,I feel sad without any clear reason,Behavior appears normal,3
685,I feel disconnected from people,Often prefers to stay alone,7
686,I feel worried about everything,Actively interacts with family,4
687,I feel emotionally numb,Mood fluctuates frequently,6
688,I feel stressed and overwhelmed,She seems withdrawn and quiet,8
689,I feel fine and stable,She seems withdrawn and quiet,9
690,I feel emotionally numb,She seems withdrawn and quiet,4
691,I feel anxious most of the day,Behavior appears normal,6
692,I feel tired and hopeless,Mood fluctuates frequently,3
693,I feel worried about everything,She seems withdrawn and quiet,9
694,I feel anxious most of the day,Actively interacts with family,8
695,I feel motivated and energetic,Actively interacts with family,2
696,I feel stressed and overwhelmed,Often prefers to stay alone,1
697,I feel anxious most of the day,Actively interacts with family,6
698,I feel sad without any clear reason,Shows signs of irritability,5
699,I feel tired and hopeless,Appears emotionally distant,10
700,I feel emotionally numb,Actively interacts with family,2
701,I feel worried about everything,Actively interacts with family,1
702,I feel disconnected from people,No major change noticed,9
703,I feel motivated and energetic,Behavior appears normal,8
704,I feel tired and hopeless,Often prefers to stay alone,5
705,I feel motivated and energetic,Seems happy and social,5
706,I feel calm and normal,She seems withdrawn and quiet,6
707,I feel tired and hopeless,She seems withdrawn and quiet,5
708,I feel sad without any clear reason,He avoids family and sleeps a lot,9
709,I feel stressed and overwhelmed,He avoids family and sleeps a lot,2
710,I feel worried about everything,Seems happy and social,5
711,I feel sad without any clear reason,He avoids family and sleeps a lot,1
712,I feel anxious most of the day,She seems withdrawn and quiet,5
713,I feel stressed and overwhelmed,Shows signs of irritability,4
714,I feel stressed and overwhelmed,Seems happy and social,4
715,I feel sad without any clear reason,No major change noticed,4
716,I feel tired and hopeless,Seems happy and social,3
717,I feel calm and normal,Seems happy and social,5
718,I feel anxious most of the day,No major change noticed,9
719,I feel emotionally numb,Shows signs of irritability,7
